uniprot_id,protein_info,accession_number,molecular_weight,Pool_1.mzML,Pool_2.mzML,Pool_3.mzML,Sample_01_0325.mzML,Sample_02_0147.mzML,Sample_03_4085.mzML,Sample_04_0039.mzML,Sample_05_5198.mzML,Sample_06_7066.mzML,Sample_07_0909.mzML,Sample_08_0348.mzML,Sample_09_7028.mzML,Sample_10_2119.mzML,Sample_11_6501.mzML,Sample_12_9999.mzML,Sample_13_1014.mzML,Sample_14_1059.mzML
O00148,sp|O00148|DX39A_HUMAN ATP-dependent R0 helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2,sp|O00148|DX39A_HUMAN,49 kDa,78549520,63536230,62242350,53628820,70803580,70154420,104108100,147343600,53904630,11804800,72152210,48756830,198377300,80184940,42326530,56302830,91171260
O00151,sp|O00151|PDLI1_HUMAN PDZ and LIM domain protein 1 OS=Homo sapiens OX=9606 GN=PDLIM1 PE=1 SV=4,sp|O00151|PDLI1_HUMAN,36 kDa,48333040,56933860,51365660,30890420,14447790,14919580,24978690,73944280,42877440,49218150,16537870,14051590,36843300,47516150,43800210,76954550,81804630
O00154,sp|O00154|BACH_HUMAN Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=3,sp|O00154|BACH_HUMAN,42 kDa,321047200,307649500,317174300,115591600,197987400,95475880,83438910,182014900,312375200,51111490,1281542000,632693300,380210200,170931200,42838240,75521950,1195128000
O00159,sp|O00159|MYO1C_HUMAN Unconventio0l myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4,sp|O00159|MYO1C_HUMAN,122 kDa,507854200,518944900,507132000,531104100,382788800,388053800,376551800,957917300,713024700,323745900,488797400,657433800,239948200,293936200,449070100,510299000,584907200
O00160,sp|O00160|MYO1F_HUMAN Unconventio0l myosin-If OS=Homo sapiens OX=9606 GN=MYO1F PE=1 SV=3,sp|O00160|MYO1F_HUMAN,125 kDa,57148360,53554210,50320070,70297290,115001400,36110370,82104090,69914280,48445520,34372450,8999727,10539990,17116450,81204610,72357370,68179290,44890200
O00178,sp|O00178|GTPB1_HUMAN GTP-binding protein 1 OS=Homo sapiens OX=9606 GN=GTPBP1 PE=1 SV=3,sp|O00178|GTPB1_HUMAN,72 kDa,11496240,10791280,11699680,8816618,13111790,21770560,8246593,9989827,9853118,3918593,16334120,10247160,23662210,10120340,4882680,11857830,16692940
O00182,sp|O00182|LEG9_HUMAN Galectin-9 OS=Homo sapiens OX=9606 GN=LGALS9 PE=1 SV=2,sp|O00182|LEG9_HUMAN,40 kDa,78051920,74324240,71914630,170505000,61150880,77281130,94164240,81309530,59303440,54966610,9893498,16918680,33207040,97871210,64510990,98207700,89288230
O00186,sp|O00186|STXB3_HUMAN Syntaxin-binding protein 3 OS=Homo sapiens OX=9606 GN=STXBP3 PE=1 SV=2,sp|O00186|STXB3_HUMAN,68 kDa,40526000,42297490,40314310,39545960,33610420,27186320,22188210,49426480,55344370,45006870,81877600,34674900,39927460,34213900,24912820,41056630,57793180
O00203,sp|O00203|AP3B1_HUMAN AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3,sp|O00203|AP3B1_HUMAN,121 kDa,4043089,4582211,4521763,2505205,6372829,9706304,6602137,8600450,9335152,4768428,11102660,5630215,8519521,4657341,2197170,4259586,7003344
O00217,"sp|O00217|NDUS8_HUMAN 0DH dehydroge0se [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS8 PE=1 SV=1",sp|O00217|NDUS8_HUMAN,24 kDa,48356240,47841130,46402370,36058310,48497140,79677770,55368990,60849490,48229670,43661400,102053100,48430790,57038470,40061120,26599380,48445520,54630340
O00231,sp|O00231|PSD11_HUMAN 26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3,sp|O00231|PSD11_HUMAN,47 kDa,292504200,233867000,225481700,216293700,200125300,358905600,312729400,204340800,269708600,155704400,329500200,319036600,333186900,177735000,149246600,285502700,439466000
O00232,sp|O00232|PSD12_HUMAN 26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12 PE=1 SV=3,sp|O00232|PSD12_HUMAN,53 kDa,347927400,400705400,361103300,315801000,389755900,623969200,424020700,380085800,330155600,228079700,483783900,367417500,447899200,318970000,247901100,283219200,515912300
O00264,sp|O00264|PGRC1_HUMAN Membrane-associated progesterone receptor component 1 OS=Homo sapiens OX=9606 GN=PGRMC1 PE=1 SV=3,sp|O00264|PGRC1_HUMAN,22 kDa,369763900,226747800,218510700,248657900,239162200,286609500,99403620,771100000,173499400,1110742000,250921600,329306300,141969500,188931000,68344710,232321200,296792000
O00267,sp|O00267|SPT5H_HUMAN Transcription elongation factor SPT5 OS=Homo sapiens OX=9606 GN=SUPT5H PE=1 SV=1,sp|O00267|SPT5H_HUMAN,121 kDa,7211444,7524551,6922696,5592645,2649410,15257120,9005095,6118721,7098471,534907,25663510,8483621,4381569,7009036,3806676,3160306,11210610
O00273,sp|O00273|DFFA_HUMAN D0 fragmentation factor subunit alpha OS=Homo sapiens OX=9606 GN=DFFA PE=1 SV=1,sp|O00273|DFFA_HUMAN,37 kDa,40529960,38860770,31843040,30711290,13817080,31351460,9293172,33586110,49734760,19534210,64393310,30594970,37463260,29824600,21916790,43482240,77388030
O00299,sp|O00299|CLIC1_HUMAN Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4,sp|O00299|CLIC1_HUMAN,27 kDa,397140100,392221700,377518000,596935700,669260100,261532300,482539300,263493900,222497100,221368900,563331300,761152400,299230900,564464300,331100900,364499600,570478000
O00303,sp|O00303|EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1,sp|O00303|EIF3F_HUMAN,38 kDa,152100200,156032300,143477900,130511900,203651900,230270800,108838900,155184500,133264300,86334880,159694200,123240800,162610000,130798300,58290190,128625300,259448400
O00339,sp|O00339|MATN2_HUMAN Matrilin-2 OS=Homo sapiens OX=9606 GN=MATN2 PE=1 SV=4,sp|O00339|MATN2_HUMAN,107 kDa,32662440,32527120,36972170,11044550,1407285,1748610,2408733,20425270,29737910,12024780,14861960,124332400,18905030,12309570,52542240,296049900,6466978
O00410,sp|O00410|IPO5_HUMAN Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4,sp|O00410|IPO5_HUMAN,124 kDa,78019870,73806390,64191850,48837470,40960360,38101800,88957190,79664990,55590660,33227430,36999380,96088990,93619520,53951520,25795830,68175700,146327900
O00425,sp|O00425|IF2B3_HUMAN Insulin-like growth factor 2 mR0-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2,sp|O00425|IF2B3_HUMAN,64 kDa,6929267,7931040,4524608,4649585,14508230,2021912,7638339,7935299,4713150,917809,48049120,8792402,2909597,6702256,4279668,6358724,24508060
O00429,sp|O00429|DNM1L_HUMAN Dy0min-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L PE=1 SV=2,sp|O00429|DNM1L_HUMAN,82 kDa,130121600,133624800,128373600,104231900,94213260,122121200,74693030,134491400,92461920,65813430,435268000,129409800,146755200,108555300,55605490,125791000,226589000
O00442,sp|O00442|RTCA_HUMAN R0 3'-termi0l phosphate cyclase OS=Homo sapiens OX=9606 GN=RTCA PE=1 SV=1,sp|O00442|RTCA_HUMAN,39 kDa,25776270,23069540,28218000,28296150,26898700,14126220,23988890,24868410,39377810,11225930,73580160,36004510,21988760,33226450,17077720,15224740,65717330
O00468,sp|O00468|AGRIN_HUMAN Agrin OS=Homo sapiens OX=9606 GN=AGRN PE=1 SV=6,sp|O00468|AGRIN_HUMAN,217 kDa,188339100,176420700,164010400,510963900,128121300,27530350,104834000,85806620,148801200,78923410,1061509000,105932300,120415300,29975610,78204610,369900300,404560200
O00471,sp|O00471|EXOC5_HUMAN Exocyst complex component 5 OS=Homo sapiens OX=9606 GN=EXOC5 PE=1 SV=1,sp|O00471|EXOC5_HUMAN,82 kDa,3032122,1465485,1551554,543400,1389251,5050438,1637585,5047506,2489420,999732,11624590,3114372,4983474,540982,879993,2581697,7163518
O00487,sp|O00487|PSDE_HUMAN 26S proteasome non-ATPase regulatory subunit 14 OS=Homo sapiens OX=9606 GN=PSMD14 PE=1 SV=1,sp|O00487|PSDE_HUMAN,35 kDa,77569220,83082930,80112860,69444990,87436130,102042600,69352260,83688560,89977410,40017510,132242900,100735700,60571660,66082790,39768160,68456080,124746500
O00505,sp|O00505|IMA4_HUMAN Importin subunit alpha-4 OS=Homo sapiens OX=9606 GN=KP03 PE=1 SV=2,sp|O00505|IMA4_HUMAN,58 kDa,1282091,2491665,2361869,1653642,405828,986379,2107905,4697940,2257400,4385179,1851567,2697329,2716836,1315527,792934,597428,3228376
O00541,sp|O00541|PESC_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1,sp|O00541|PESC_HUMAN,68 kDa,45317030,41806880,41051180,25432240,25009340,46977130,34207440,30420420,35013250,21287820,261890300,29480370,55202300,10007360,7167326,14105230,117535100
O00560,sp|O00560|SDCB1_HUMAN Syntenin-1 OS=Homo sapiens OX=9606 GN=SDCBP PE=1 SV=1,sp|O00560|SDCB1_HUMAN,32 kDa,320612500,331748700,330015700,160424500,96794100,644223000,246975800,579297000,501942600,229691000,812835600,798749300,69581540,84305910,51883330,98548590,435474500
O00567,sp|O00567|NOP56_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4,sp|O00567|NOP56_HUMAN,66 kDa,488787700,479880700,473004000,469783600,408962800,525027900,398785600,383530000,573104800,189684300,1204616000,408950300,574169200,318264100,193190200,284074400,1029094000
O00571,sp|O00571|DDX3X_HUMAN ATP-dependent R0 helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3,sp|O00571|DDX3X_HUMAN,73 kDa,718581200,702200800,693518100,665932300,540063400,767677100,630092300,843967600,474255100,290102300,1610199000,659016500,707562500,659650700,391561600,584646500,1221083000
O00625,sp|O00625|PIR_HUMAN Pirin OS=Homo sapiens OX=9606 GN=PIR PE=1 SV=1,sp|O00625|PIR_HUMAN,32 kDa,116729800,125692100,120600300,33035650,14668580,232725600,104858400,136182100,105769300,56890550,377313300,378821800,263898700,20212440,8723141,37498320,146685300
O00629,sp|O00629|IMA3_HUMAN Importin subunit alpha-3 OS=Homo sapiens OX=9606 GN=KP04 PE=1 SV=1,sp|O00629|IMA3_HUMAN,58 kDa,17949910,17740830,14478150,5458184,22865210,4975967,3439794,4442153,3878417,7027237,5423958,14849010,14546860,4961227,9020155,8316269,29868310
O00748,sp|O00748|EST2_HUMAN Cocaine esterase OS=Homo sapiens OX=9606 GN=CES2 PE=1 SV=1,sp|O00748|EST2_HUMAN,62 kDa,41104350,40063320,37216740,8654064,6171076,7431902,6309043,29359310,7217907,586077200,18937420,9545314,6320705,5436533,6085924,7647016,26142920
O00754,sp|O00754|MA2B1_HUMAN Lysosomal alpha-mannosidase OS=Homo sapiens OX=9606 GN=MAN2B1 PE=1 SV=3,sp|O00754|MA2B1_HUMAN,114 kDa,65301450,77989900,63483440,58065980,46135510,76784730,142154200,63691560,39261030,41263430,98429970,132274800,76383390,93080810,55080730,116141900,77676780
O00764,sp|O00764|PDXK_HUMAN Pyridoxal ki0se OS=Homo sapiens OX=9606 GN=PDXK PE=1 SV=1,sp|O00764|PDXK_HUMAN,35 kDa,88720950,94709850,92606190,82540570,135187800,59425520,114803900,100271300,94283210,75986070,86522870,81776700,74949660,132487900,59861330,96774660,93436010
O14556,"sp|O14556|G3PT_HUMAN Glyceraldehyde-3-phosphate dehydroge0se, testis-specific OS=Homo sapiens OX=9606 GN=GAPDHS PE=1 SV=2",sp|O14556|G3PT_HUMAN,45 kDa,150334000,63588570,150321100,23434330,11794550,13093480,36459720,21480110,128167400,80515320,967752900,159830600,105481500,3078150,1755111,23273230,889729200
O14558,sp|O14558|HSPB6_HUMAN Heat shock protein beta-6 OS=Homo sapiens OX=9606 GN=HSPB6 PE=1 SV=2,sp|O14558|HSPB6_HUMAN,17 kDa,52490520,53677010,55899380,7268008,2435283,30313400,23025560,213616900,10900080,47201410,7113170,91887080,4424343,4091012,62343510,37031120,32794930
O14579,sp|O14579|COPE_HUMAN Coatomer subunit epsilon OS=Homo sapiens OX=9606 GN=COPE PE=1 SV=3,sp|O14579|COPE_HUMAN,34 kDa,221432100,233421200,232762400,214303300,262189000,292194200,182765100,250188200,235072300,165909600,239947100,199845500,128419300,295298100,117903700,260362200,412830900
O14617,sp|O14617|AP3D1_HUMAN AP-3 complex subunit delta-1 OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1,sp|O14617|AP3D1_HUMAN,130 kDa,4832434,9328543,7166028,11423720,8264549,11376590,3508112,4528395,10048690,2594638,23755880,5195253,5536139,6252331,1156706,9989345,19552900
O14618,sp|O14618|CCS_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1,sp|O14618|CCS_HUMAN,29 kDa,135751800,136614000,126156400,93305920,85201850,389963900,79060610,145995000,126538400,220385300,154490200,135224300,45539540,59821640,40981100,97211070,153402400
O14647,sp|O14647|CHD2_HUMAN Chromodomain-helicase-D0-binding protein 2 OS=Homo sapiens OX=9606 GN=CHD2 PE=1 SV=2,sp|O14647|CHD2_HUMAN,211 kDa,171322800,180002900,191060900,146683700,206538300,186246900,111321600,205077200,194597300,112477400,345086200,206140900,129901200,123306300,74954680,146817100,360445000
O14735,sp|O14735|CDIPT_HUMAN CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Homo sapiens OX=9606 GN=CDIPT PE=1 SV=1,sp|O14735|CDIPT_HUMAN,24 kDa,23334760,21229580,20642920,44245660,8168383,16345510,8700156,9005371,33162520,10227320,15808010,26186930,15369370,17613700,3511180,36502420,31456520
O14737,sp|O14737|PDCD5_HUMAN Programmed cell death protein 5 OS=Homo sapiens OX=9606 GN=PDCD5 PE=1 SV=3,sp|O14737|PDCD5_HUMAN,14 kDa,103104600,102130700,101064100,61438650,42393040,21130570,63339250,69058660,120104800,47716490,88100090,93994320,448755700,67963300,35638270,101487000,100036900
O14744,sp|O14744|ANM5_HUMAN Protein arginine N-methyltransferase 5 OS=Homo sapiens OX=9606 GN=PRMT5 PE=1 SV=4,sp|O14744|ANM5_HUMAN,73 kDa,49749020,46564670,46281470,55113400,25552310,45477930,26155960,35771050,60078090,25580940,157783300,79982170,37001770,30096410,17549590,56440790,156876000
O14756,sp|O14756|H17B6_HUMAN 17-beta-hydroxysteroid dehydroge0se type 6 OS=Homo sapiens OX=9606 GN=HSD17B6 PE=1 SV=1,sp|O14756|H17B6_HUMAN,36 kDa,14693630,14617930,10601370,3752785,6416514,4140225,3268041,9440669,7028711,180955700,1614870,2450020,840069,3219862,5377658,4480576,2088634
O14773,sp|O14773|TPP1_HUMAN Tripeptidyl-peptidase 1 OS=Homo sapiens OX=9606 GN=TPP1 PE=1 SV=2,sp|O14773|TPP1_HUMAN,61 kDa,552969900,522455200,459614300,531445900,312850300,869279400,527949500,353451900,395961000,349964100,1164510000,425698100,225353500,770260600,205410700,731949300,944854000
O14776,sp|O14776|TCRG1_HUMAN Transcription elongation regulator 1 OS=Homo sapiens OX=9606 GN=TCERG1 PE=1 SV=2,sp|O14776|TCRG1_HUMAN,124 kDa,56564120,53525880,50439330,41458880,34874660,34622900,56500560,46835650,47742380,14886980,128236400,49265030,46390550,49836270,34181530,49748910,66000640
O14818,sp|O14818|PSA7_HUMAN Proteasome subunit alpha type-7 OS=Homo sapiens OX=9606 GN=PSMA7 PE=1 SV=1,sp|O14818|PSA7_HUMAN,28 kDa,266690900,307451600,310883400,327869700,217713700,217844800,178137500,359012800,555433100,244104100,450489400,301518400,233852100,318557700,124963900,279776200,490062400
O14828,sp|O14828|SCAM3_HUMAN Secretory carrier-associated membrane protein 3 OS=Homo sapiens OX=9606 GN=SCAMP3 PE=1 SV=3,sp|O14828|SCAM3_HUMAN,38 kDa,118036300,115250700,112920200,106748200,48305830,45703730,96746820,160954500,140004200,67837230,472300300,220133800,92730420,83042440,33344380,97371840,265002100
O14841,sp|O14841|OPLA_HUMAN 5-oxoproli0se OS=Homo sapiens OX=9606 GN=OPLAH PE=1 SV=3,sp|O14841|OPLA_HUMAN,137 kDa,28288230,21901150,25803430,14140740,42709050,9437912,6669025,28360320,11352070,154825100,7492531,39114230,3679435,20491040,14288740,34628790,25406920
O14874,"sp|O14874|BCKD_HUMAN [3-methyl-2-oxobutanoate dehydroge0se [lipoamide]] ki0se, mitochondrial OS=Homo sapiens OX=9606 GN=BCKDK PE=1 SV=2",sp|O14874|BCKD_HUMAN,46 kDa,12381250,8862106,9588612,6333870,11166520,13369120,4829835,8617389,9582644,15063740,15623390,14533950,5238424,4897810,2631745,8180796,18825780
O14879,sp|O14879|IFIT3_HUMAN Interferon-induced protein with tetratricopeptide repeats 3 OS=Homo sapiens OX=9606 GN=IFIT3 PE=1 SV=1,sp|O14879|IFIT3_HUMAN,56 kDa,330859600,390044400,346628700,495101800,206646700,324026200,277285600,495423700,507621100,281971900,763668700,373750100,326139900,293642100,240020900,369560100,579806100
O14880,sp|O14880|MGST3_HUMAN Microsomal glutathione S-transferase 3 OS=Homo sapiens OX=9606 GN=MGST3 PE=1 SV=1,sp|O14880|MGST3_HUMAN,17 kDa,161292100,147254900,147762200,101132000,99964870,83826130,82013280,164053600,241091100,165239100,577792800,353277300,83957940,103486300,53619640,51843520,301283500
O14908,sp|O14908|GIPC1_HUMAN PDZ domain-containing protein GIPC1 OS=Homo sapiens OX=9606 GN=GIPC1 PE=1 SV=2,sp|O14908|GIPC1_HUMAN,36 kDa,63002520,69896700,72109450,39445620,39287550,75778110,31057430,76216260,60701750,29434960,159322500,97938070,59474800,40225790,21483320,61605360,90298370
O14920,sp|O14920|IKKB_HUMAN Inhibitor of nuclear factor kappa-B ki0se subunit beta OS=Homo sapiens OX=9606 GN=IKBKB PE=1 SV=1,sp|O14920|IKKB_HUMAN,87 kDa,12302800,9890490,9019749,10640190,10748700,15651290,5912036,9790624,13665490,5546719,10083720,17533930,22743700,15805860,5911997,8833439,11962890
O14929,sp|O14929|HAT1_HUMAN Histone acetyltransferase type B catalytic subunit OS=Homo sapiens OX=9606 GN=HAT1 PE=1 SV=1,sp|O14929|HAT1_HUMAN,50 kDa,31469890,27723020,28818450,33297080,13303190,32413430,17625250,25020820,20797030,2565444,85242640,45944530,29809630,27828110,4937474,36283650,34938820
